,discipline,CoVer,SPMDIR,MUST,CoVer-MUST,SPMDIR-MUST
Correct-fence-bufread_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
